OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-IA,USGS Iowa Water Science Center,USGS-05476735,"Pilot Creek at County Hwy P15 near Rolfe, IA",Stream,,07100002,96.6,sq mi,,,42.80552770000000,-94.4624735000000,24000,5,seconds,Interpolated from MAP.,NAD83,742.36,feet,.01,feet,Reported method of determination.,NGVD29,US,19,151,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-05490500,"Des Moines River at Keosauqua, IA",Stream,,07100009,14038,sq mi,,,40.72780589000000,-91.9596170000000,24000,5,seconds,Interpolated from MAP.,NAD83,547.36,feet,.01,feet,Level or other surveyed method.,NGVD29,US,19,177,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-06483495,"Burr Oak Creek near Perkins, IA",Stream,,10170204,30.9,sq mi,,,43.24525718000000,-96.1775230000000,24000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,US,19,167,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-06600030,"Little Floyd River near Sanborn, IA",Stream,,10230002,8.44,sq mi,,,43.18600000000000,-95.7251111000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,19,141,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-414115091370301,"Deer Creek near Coralville, IA",Stream,,07080209,,,,,41.68738056000000,-91.6176000000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,666,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,19,103,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-415825091405601,083N07W29AAC        1996NAWQA City of Cedar Rapids,Well,,07080205,,,,,41.97350000000000,-91.6821667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,731.70,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19960813,27.5,ft,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-415827091392401,083N07W27BBC        1996NAWQA City of Cedar Rapids,Well,,07080205,,,,,41.97408330000000,-91.6567222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,724.05,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19960813,27.5,ft,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-415952091440400,083N08W13CBCB       1994Cedar Rapids Ranney 1,Well: Collector or Ranney type well,,07080205,,,,,41.99777679000000,-91.7346262000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,721.62,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19941201,59.5,ft,62.5,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-415954091435101,083N08W13 CBDA 2020Cedar Rapids Smnl Ranney 5,Well,,07080205,,,,,41.99833330000000,-91.7308333000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,727,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,19,113,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420004091442300,083N08W14ADCC       1995Cedar Rapids Ranney 2,Well: Collector or Ranney type well,,07080205,,,,,42.00110990000000,-91.7399042000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,724.90,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19950401,49.6,ft,52.6,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420010091431801,083N08W13ACAD 56471 2002Cedar Rapids Smnl Ranney 4,Well: Collector or Ranney type well,,07080205,,,,,42.00277778000000,-91.7216667000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,720.63,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,20020101,60.4,ft,64.4,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420013091442000,083N08W14ADBB 43186 1991Cedar Rapids Seminole 17,Well,,07080205,,,,,42.00360986000000,-91.7390707000000,24000,.5,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,723.52,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19910917,54,ft,54,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420031091441801,083N08W11DDC        1996USGS CRM-15,Well,,07080205,,,,,42.00860970000000,-91.7385150000000,24000,1,seconds,Interpolated from MAP.,NAD83,725.08,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,19960318,18.0,ft,18.0,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420035091422301,083N07W07DCBC 56470 2002Cedar Rapids West Ranney 3,Well: Collector or Ranney type well,,07080205,,,,,42.00972220000000,-91.7063889000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,734.61,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,,57.0,ft,61.0,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420036091444001,083N08W11DCBC       2013Cedar Rapids Ranney 6,Well,,07080205,,,,,42.01000000000000,-91.7446111000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,726.80,feet,.01,feet,"Light Detection And Ranging, airplane",NAVD88,US,19,113,Sand and gravel aquifers (glaciated regions),,Holocene Alluvium,Unconfined single aquifer,20130204,74.3,ft,74.3,ft,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-420350094462201,"Storm Creek near Glidden, IA",Stream,,07100007,,,,,42.06388889000000,-94.7727778000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,19,027,,,,,,,,,,NWIS
USGS-IA,USGS Iowa Water Science Center,USGS-421100093320002,SY-85/23W-0002 (HM-2),Stream: Ditch,,07080105,,,,,42.18333330000000,-93.5333333000000,24000,1,minutes,Interpolated from Digital MAP.,NAD83,990,feet,3,feet,Interpolated from Digital Elevation Model,NAVD88,US,19,169,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05438170,"KISHWAUKEE RIVER AT MARENGO, IL",Stream,,07090006,170,sq mi,,,42.26527778000000,-88.6080556000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,785.92,feet,.01,feet,Global Positioning System.,NAVD88,US,17,111,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05527500,"KANKAKEE RIVER NEAR WILMINGTON, IL",Stream,,07120001,5150,sq mi,,,41.34669805000000,-88.1864487000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,510.86,feet,.01,feet,Unknown.,NGVD29,US,17,197,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05538010,"DES PLAINES RIVER AT ROCKDALE, IL",Stream,,07120004,1506.00,sq mi,,,41.50500000000000,-88.0997222000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,17,197,,,,,20150813,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05538020,"DES PLAINES RIVER IN LOCK CHANNEL AT ROCKDALE, IL",Stream,,07120004,,,,,41.50000000000000,-88.1069444000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,0.00,feet,.01,feet,Differentially corrected Global Positioning System.,NGVD29,US,17,197,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05548280,"NIPPERSINK CREEK NEAR SPRING GROVE, IL",Stream,,07120006,192,sq mi,,,42.44333330000000,-88.2475000000000,,1,seconds,Interpolated from MAP.,NAD83,746.00,feet,.01,feet,Unknown.,NGVD29,US,17,111,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05550090,"FOX RIVER AT HUNTLEY ROAD AT CARPENTERSVILLE, IL",Stream,,07120006,,,,,42.10835870000000,-88.2895252000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,700.00,feet,.01,feet,Unknown.,NGVD29,US,17,089,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05553700,"ILLINOIS RIVER AT STARVED ROCK, IL",Stream,,07130001,11056.00,sq mi,11056.00,sq mi,41.32475640000000,-88.9839693000000,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,17,099,,,,,,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-05586300,"ILLINOIS RIVER AT FLORENCE, IL",Stream,,07130011,26870,sq mi,,,39.63277778000000,-90.6077778000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,404.35,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,149,,,,,20120522,,,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-370913088441201,16S4E-2c,Well,,05140206,,,,,37.15366546000000,-88.7367204000000,,10,seconds,Reported.,NAD83,,,,,,,US,17,127,Sand and gravel aquifers (glaciated regions),,Quaternary System,,,405,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-371052089052501,15S 1E-22.5a1,Well,,05140206,,,,,37.18116279000000,-89.0903499000000,24000,5,seconds,Interpolated from MAP.,NAD83,350,feet,5,feet,Interpolated from topographic map.,NGVD29,US,17,153,Silurian-Devonian aquifers,,Middle Devonian Series of New Albany Group,,,930,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-371159088503101,15S 3E-23.1h1,Well,,05140206,,,,,37.19977570000000,-88.8420042000000,24000,5,seconds,Interpolated from MAP.,NAD83,300,feet,5,feet,Interpolated from topographic map.,NGVD29,US,17,127,Mississippian aquifers,,Mississippian System,,,240,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-372525088204002,12S 8E-32.3a2,Well,,05140203,,,,,37.42366259000000,-88.3444815000000,24000,5,seconds,Interpolated from MAP.,NAD83,350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,17,069,,,,,,500,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-374152088080201,9S10E-32.6e3,Well,,05140203,,,,,37.69781564000000,-88.1337338000000,,.1,seconds,Reported.,NAD83,355,feet,2.5,feet,Interpolated from topographic map.,NAVD88,US,17,059,Sand and gravel aquifers (glaciated regions),,Quaternary System,,,82,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-374447088135701,9S9E-17.2h1,Well,,05140204,,,,,37.74650000000000,-88.2325278000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,361,feet,2.5,feet,Interpolated from topographic map.,NAVD88,US,17,059,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20050818,130,ft,130,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-375417089064701,7S10E-21.7g1,Well,,05120114,,,,,37.90476780000000,-88.1130903000000,,5,seconds,Interpolated from MAP.,NAD83,350,feet,10,feet,Interpolated from topographic map.,NGVD29,US,17,059,Sand and gravel aquifers (glaciated regions),,Quaternary System,,,60,ft,,,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-405524087152701,29N7W-31.1f,Well,,07120002,,,,,40.92338889000000,-87.2575278000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,670,feet,1,feet,Interpolated from topographic map.,NGVD29,US,18,073,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,19990504,13.19,ft,14.19,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-410030087263101,30N9W-34.6e,Well,,07120002,,,,,41.00855556000000,-87.4420833000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,670,feet,1,feet,Interpolated from topographic map.,NGVD29,US,18,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,19981202,15.97,ft,16.47,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-410123087385601,29N11W-6.7b,Well,,07120002,,,,,41.02308330000000,-87.6490833000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,640,feet,1,feet,Interpolated from topographic map.,NGVD29,US,17,091,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,19981118,16.47,ft,16.87,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-410813087423402,31N13E-34.4f2,Well,,07120001,,,,,41.13688889000000,-87.7095000000000,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,627.5,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,17,091,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20110809,22.6,ft,24,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-410859087370001,31N14E-28.6h,Well,,07120001,,,,,41.14988889000000,-87.6169167000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,627.0,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,17,091,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,19990506,13.31,ft,13.81,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-411248087304901,32N10W-24.4g,Well,,07120001,,,,,41.21341667000000,-87.5138056000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,630,feet,1,feet,Interpolated from topographic map.,NGVD29,US,18,089,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,19981201,11.19,ft,11.69,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-415752088244001,40N7E-11.6f,Well,,07120007,,,,,41.96455556000000,-88.4112222000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,845,feet,1,feet,Interpolated from topographic map.,NGVD29,US,17,089,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,19990902,38.07,ft,38.57,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-420114088141802,41N9E-20.7b2,Well,,07120006,,,,,42.02055556000000,-88.2383333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,780,feet,10,feet,Interpolated from topographic map.,NGVD29,US,17,031,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20100728,48.5,ft,49.5,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-421341088283702,43N6E-01.3b2 (15-COR-I),Well,,07090006,,,,,42.22805556000000,-88.4769444000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,851.48,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20081027,103.3,ft,125,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-421533088421801,44N5E-30.8c1 (10-MAR-S) (McHenry Co CRN),Well,,07090006,,,,,42.25916667000000,-88.7050000000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,780.93,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20081029,20.3,ft,50,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-421633088125801,44N9E-20.7c,Well,,07120006,,,,,42.27608330000000,-88.2163333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,750,feet,1,feet,Interpolated from topographic map.,NGVD29,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,19991020,26.1,ft,26.6,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-421747088270701,44N7E-17.8h1 (WOOD-08-01),Well,,07090006,,,,,42.29641944000000,-88.4519417000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,943,feet,3,feet,"Light Detection And Ranging, airplane",NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20081007,202.3,ft,258.2,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422120088330901,45N6E-29.1h (MARN-09-01),Well,,07090006,,,,,42.35556110000000,-88.5523667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,909,feet,10,feet,"Light Detection And Ranging, airplane",NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20090709,100.7,ft,158,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422142088303101,45N6E-23.7d1 (7-HRT-S),Well,,07120006,,,,,42.36166667000000,-88.5086111000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,924.14,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20081111,62.3,ft,165.7,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422308088195601,45N8E-17.7h1 (9-MCH-S),Well,,07120006,,,,,42.38555556000000,-88.3322222000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,863.18,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20081001,25.9,ft,210,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422308088231001,45N7E-11.5a1 (8-GRN-I),Well,,07120006,,,,,42.38555556000000,-88.3861111000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,855.97,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20080923,70.3,ft,176,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422308088231002,45N7E-11.5a2 (8-GRN-D),Well,,07120006,,,,,42.38555556000000,-88.3861111000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,855.97,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20080923,153.1,ft,176,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422308088264201,45N7E-08.5a (HEBR-08-02),Well,,07120006,,,,,42.38546389000000,-88.4449083000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,898,feet,10,feet,"Light Detection And Ranging, airplane",NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20080917,100.3,ft,112,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422358088360201,45N5E-12.5h (HARV-09-01),Well,,07090006,,,,,42.39954444000000,-88.6006194000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,942,feet,10,feet,"Light Detection And Ranging, airplane",NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20090707,120.1,ft,199,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422845088285401,46N6E-12.5d (HEBR-09-03),Well,,07120006,,,,,42.47912220000000,-88.4816250000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,949,feet,10,feet,"Light Detection And Ranging, airplane",NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20090625,120.6,ft,234,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-422848088191001,46N8E-08.2e1 (4-RCH-S),Well,,07120006,,,,,42.48000000000000,-88.3194444000000,24000,1,seconds,Differentially corrected Global Positioning System.,NAD83,844.15,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,17,111,Sand and gravel aquifers (glaciated regions),,Quaternary System,Confined single aquifer,20081006,24.0,ft,178,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-423523088244901,2N18E-31.8a,Well,,07120006,,,,,42.58980556000000,-88.4138611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,890,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,127,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20000309,17.9,ft,17.9,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-425913088133801,6N19E-15.1h,Well,,07120006,,,,,42.98719444000000,-88.2273888900000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,880,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,19990819,28.08,ft,30,ft,NWIS
USGS-IL,USGS Illinois Water Science Center,USGS-430728088132801,8N18e-27.1c,Well,,07120006,,,,,43.12472220000000,-88.2246667000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,920,feet,1,feet,Interpolated from topographic map.,NGVD29,US,55,133,Sand and gravel aquifers (glaciated regions),,Quaternary System,Unconfined single aquifer,20000302,27,ft,28.5,ft,NWIS
USGS-IN,USGS Indiana Water Science Center,IN002-375700087260016,IN5287002 WARRICK 00105 PRODUCTION WELL 4,Well,,05140201,,,,,37.94730556000000,-87.4263611000000,,1,minutes,Interpolated from MAP.,NAD83,390,feet,1,feet,Interpolated from topographic map.,NAVD88,US,18,173,Alluvial aquifers,,,,19840323,127,ft,127,ft,NWIS
USGS-IN,USGS Indiana Water Science Center,IN002-381100086200016,IN5231005 CRAWFORD 00628 PRODUCTION WELL 3,Well,,05140104,,,,,38.18558330000000,-86.3313333000000,,1,minutes,Interpolated from MAP.,NAD83,422,feet,1,feet,Global Positioning System.,NAVD88,US,18,061,Alluvial aquifers,,,,19740215,110,ft,110,ft,NWIS
